Stock Name,Basic Industry,Index,Sector
BSE,Financial Services-Specialty,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
BOHRAIND,Agro chemicals,NA,Chemicals
ARSSINFRA,Civil Construction,NA,Construction
BGRENERGY,Civil Construction,NA,Construction
AARVEEDEN,Textiles,NA,Textiles
INDOTHAI,Investment Banking & Broking,NA,Financial Services
JSWHL,Investment Banking & Broking,NA,Financial Services
NACLIND,Agro chemicals,NA,Chemicals
INDLMETER,Electrical - Power Equipment,NA,Capital Goods
KANPRPLA,Packaging,NA,Capital Goods
PANACEABIO,Pharmaceuticals,NA,Healthcare
KITEX,Textiles,NA,Textiles
TERASOFT,Software Services,NA,Information Technology
WINDMACHIN,Industrial Products & Manufacturing,NA,Capital Goods
SVLL,Logistics,NA,Services
SHEKHAWATI,Textiles,NA,Textiles
CCCL,Civil Construction,NA,Construction
UEL,Electrical - Power Equipment,NA,Capital Goods
ATLASCYCLE,Household Appliances,NA,Consumer Durables
SWANDEF,Ship building & Allied services,NA,Capital Goods
CURAA,Software Services,NA,Information Technology
AXISCADES,Software Services,NA,Information Technology
BDL,Aerospace & Defense,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
GRSE,Ship building & Allied services,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
ASIANHOTNR,Hotels,NA,Consumer Services
INDIAGLYCO,Chemicals Specialty,NIFTY MICROCAP 250,Chemicals
KRISHANA,Chemicals Specialty,NA,Chemicals
MANGCHEFER,Fertilizers,NA,Chemicals
PARADEEP,Agro chemicals,NIFTY MICROCAP 250,Chemicals
RAMANEWS,Paper & Paper Products,NA,Forest Materials
MAZDOCK,Ship building & Allied services,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
SHAILY,Chemicals-Plastics,NA,Chemicals
PARAS,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
PANSARI,Real Estate,NA,Realty
NORBTEAEXP,Tea & Coffee,NA,FMCG
PKTEA,Tea & Coffee,NA,FMCG
KAVVERITEL,Computer-Networking,NA,Information Technology
V2RETAIL,Apparels,NA,Textiles
SUVEN,Medical-Diversified,NA,Healthcare
BLUECOAST,Hotels,NA,Consumer Services
AIIL,NBFC,NA,Financial Services
ABINFRA,Civil Construction,NA,Construction
CHOICEIN,Investment Banking & Broking,NIFTY MICROCAP 250,Financial Services
63MOONS,Financial Services-Specialty,NA,Financial Services
CAMLINFINE,Chemicals Specialty,NA,Chemicals
E2E,Software Services,NA,Information Technology
CENTUM,EMS,NA,Capital Goods
FAZE3Q,Home Furnishing,NA,Consumer Durables
BANCOINDIA,Auto Ancilaries,NIFTY MICROCAP 250,Auto
